iso_o,iso_d,TIME_PERIOD,rta
ARG,AUS,2000,0
ARG,AUS,2001,0
ARG,AUS,2002,0
ARG,AUS,2003,0
ARG,AUS,2004,0
ARG,AUS,2005,0
ARG,AUS,2006,0
ARG,AUS,2007,0
ARG,AUS,2008,0
ARG,AUS,2009,0
ARG,AUS,2010,0
ARG,AUS,2011,0
ARG,AUS,2012,0
ARG,AUS,2013,0
ARG,AUS,2014,0
ARG,AUS,2015,0
ARG,AUS,2016,0
ARG,AUS,2017,0
ARG,AUS,2018,0
ARG,AUS,2019,0
ARG,AUS,2020,0
ARG,AUT,2000,0
ARG,AUT,2001,0
ARG,AUT,2002,0
ARG,AUT,2003,0
ARG,AUT,2004,0
ARG,AUT,2005,0
ARG,AUT,2006,0
ARG,AUT,2007,0
ARG,AUT,2008,0
ARG,AUT,2009,0
ARG,AUT,2010,0
ARG,AUT,2011,0
ARG,AUT,2012,0
ARG,AUT,2013,0
ARG,AUT,2014,0
ARG,AUT,2015,0
ARG,AUT,2016,0
ARG,AUT,2017,0
ARG,AUT,2018,0
ARG,AUT,2019,0
ARG,AUT,2020,0
ARG,BEL,2000,0
ARG,BEL,2001,0
ARG,BEL,2002,0
ARG,BEL,2003,0
ARG,BEL,2004,0
ARG,BEL,2005,0
ARG,BEL,2006,0
ARG,BEL,2007,0
ARG,BEL,2008,0
ARG,BEL,2009,0
ARG,BEL,2010,0
ARG,BEL,2011,0
ARG,BEL,2012,0
ARG,BEL,2013,0
ARG,BEL,2014,0
ARG,BEL,2015,0
ARG,BEL,2016,0
ARG,BEL,2017,0
ARG,BEL,2018,0
ARG,BEL,2019,0
ARG,BEL,2020,0
ARG,BGD,2000,1
ARG,BGD,2001,1
ARG,BGD,2002,1
ARG,BGD,2003,1
ARG,BGD,2004,1
ARG,BGD,2005,1
ARG,BGD,2006,1
ARG,BGD,2007,1
ARG,BGD,2008,1
ARG,BGD,2009,1
ARG,BGD,2010,1
ARG,BGD,2011,1
ARG,BGD,2012,1
ARG,BGD,2013,1
ARG,BGD,2014,1
ARG,BGD,2015,1
ARG,BGD,2016,1
ARG,BGD,2017,1
ARG,BGD,2018,1
ARG,BGD,2019,1
ARG,BGD,2020,1
ARG,BGR,2000,0
ARG,BGR,2001,0
ARG,BGR,2002,0
ARG,BGR,2003,0
ARG,BGR,2004,0
ARG,BGR,2005,0
ARG,BGR,2006,0
ARG,BGR,2007,0
ARG,BGR,2008,0
ARG,BGR,2009,0
ARG,BGR,2010,0
ARG,BGR,2011,0
ARG,BGR,2012,0
ARG,BGR,2013,0
ARG,BGR,2014,0
ARG,BGR,2015,0
ARG,BGR,2016,0
ARG,BGR,2017,0
ARG,BGR,2018,0
ARG,BGR,2019,0
ARG,BGR,2020,0
ARG,BLR,2000,0
ARG,BLR,2001,0
ARG,BLR,2002,0
ARG,BLR,2003,0
ARG,BLR,2004,0
ARG,BLR,2005,0
ARG,BLR,2006,0
ARG,BLR,2007,0
ARG,BLR,2008,0
ARG,BLR,2009,0
ARG,BLR,2010,0
ARG,BLR,2011,0
ARG,BLR,2012,0
ARG,BLR,2013,0
ARG,BLR,2014,0
ARG,BLR,2015,0
ARG,BLR,2016,0
ARG,BLR,2017,0
ARG,BLR,2018,0
ARG,BLR,2019,0
ARG,BLR,2020,0
ARG,BRA,2000,1
ARG,BRA,2001,1
ARG,BRA,2002,1
ARG,BRA,2003,1
ARG,BRA,2004,1
ARG,BRA,2005,1
ARG,BRA,2006,1
ARG,BRA,2007,1
ARG,BRA,2008,1
ARG,BRA,2009,1
ARG,BRA,2010,1
ARG,BRA,2011,1
ARG,BRA,2012,1
ARG,BRA,2013,1
ARG,BRA,2014,1
ARG,BRA,2015,1
ARG,BRA,2016,1
ARG,BRA,2017,1
ARG,BRA,2018,1
ARG,BRA,2019,1
ARG,BRA,2020,1
ARG,BRN,2000,0
ARG,BRN,2001,0
ARG,BRN,2002,0
ARG,BRN,2003,0
ARG,BRN,2004,0
ARG,BRN,2005,0
ARG,BRN,2006,0
ARG,BRN,2007,0
ARG,BRN,2008,0
ARG,BRN,2009,0
ARG,BRN,2010,0
ARG,BRN,2011,0
ARG,BRN,2012,0
ARG,BRN,2013,0
ARG,BRN,2014,0
ARG,BRN,2015,0
ARG,BRN,2016,0
ARG,BRN,2017,0
ARG,BRN,2018,0
ARG,BRN,2019,0
ARG,BRN,2020,0
ARG,CAN,2000,0
ARG,CAN,2001,0
ARG,CAN,2002,0
ARG,CAN,2003,0
ARG,CAN,2004,0
ARG,CAN,2005,0
ARG,CAN,2006,0
ARG,CAN,2007,0
ARG,CAN,2008,0
ARG,CAN,2009,0
ARG,CAN,2010,0
ARG,CAN,2011,0
ARG,CAN,2012,0
ARG,CAN,2013,0
ARG,CAN,2014,0
ARG,CAN,2015,0
ARG,CAN,2016,0
ARG,CAN,2017,0
ARG,CAN,2018,0
ARG,CAN,2019,0
ARG,CAN,2020,0
