iso_o,iso_d,TIME_PERIOD,OBS_VALUE
AUS,ARG,2000,0.393
AUS,ARG,2001,0.474
AUS,ARG,2002,0.282
AUS,ARG,2003,0.363
AUS,ARG,2004,0.156
AUS,ARG,2005,0.398
AUS,ARG,2006,0.367
AUS,ARG,2007,0.391
AUS,ARG,2008,0.306
AUS,ARG,2009,0.26
AUS,ARG,2010,0.446
AUS,ARG,2011,0.428
AUS,ARG,2012,0.243
AUS,ARG,2013,0.25
AUS,ARG,2014,0.218
AUS,ARG,2015,0.354
AUS,ARG,2016,0.263
AUS,ARG,2017,0.244
AUS,ARG,2018,0.215
AUS,ARG,2019,0.148
AUS,ARG,2020,0.125
AUT,ARG,2000,0.069
AUT,ARG,2001,0.065
AUT,ARG,2002,0.03
AUT,ARG,2003,0.038
AUT,ARG,2004,0.05
AUT,ARG,2005,0.016
AUT,ARG,2006,0.051
AUT,ARG,2007,0.055
AUT,ARG,2008,0.071
AUT,ARG,2009,0.053
AUT,ARG,2010,0.076
AUT,ARG,2011,0.081
AUT,ARG,2012,0.117
AUT,ARG,2013,0.094
AUT,ARG,2014,0.073
AUT,ARG,2015,0.063
AUT,ARG,2016,0.064
AUT,ARG,2017,0.076
AUT,ARG,2018,0.07
AUT,ARG,2019,0.074
AUT,ARG,2020,0.048
BEL,ARG,2000,0.225
BEL,ARG,2001,0.159
BEL,ARG,2002,0.066
BEL,ARG,2003,0.069
BEL,ARG,2004,0.082
BEL,ARG,2005,0.398
BEL,ARG,2006,0.132
BEL,ARG,2007,0.145
BEL,ARG,2008,0.166
BEL,ARG,2009,0.106
BEL,ARG,2010,0.155
BEL,ARG,2011,0.188
BEL,ARG,2012,0.184
BEL,ARG,2013,0.225
BEL,ARG,2014,0.155
BEL,ARG,2015,0.14
BEL,ARG,2016,0.14
BEL,ARG,2017,0.166
BEL,ARG,2018,0.128
BEL,ARG,2019,0.101
BEL,ARG,2020,0.083
BGD,ARG,2000,0.012
BGD,ARG,2001,0.011
BGD,ARG,2002,0.013
BGD,ARG,2003,0.009
BGD,ARG,2004,0.027
BGD,ARG,2005,0.029
BGD,ARG,2006,0.035
BGD,ARG,2007,0.039
BGD,ARG,2008,0.039
BGD,ARG,2009,0.034
BGD,ARG,2010,0.035
BGD,ARG,2011,0.038
BGD,ARG,2012,0.032
BGD,ARG,2013,0.033
BGD,ARG,2014,0.024
BGD,ARG,2015,0.024
BGD,ARG,2016,0.018
BGD,ARG,2017,0.016
BGD,ARG,2018,0.017
BGD,ARG,2019,0.015
BGD,ARG,2020,0.012
BGR,ARG,2000,0.029
BGR,ARG,2001,0.026
BGR,ARG,2002,0.009
BGR,ARG,2003,0.015
BGR,ARG,2004,0.019
BGR,ARG,2005,0.02
BGR,ARG,2006,0.034
BGR,ARG,2007,0.098
BGR,ARG,2008,0.093
BGR,ARG,2009,0.014
BGR,ARG,2010,0.025
BGR,ARG,2011,0.083
BGR,ARG,2012,0.022
BGR,ARG,2013,0.035
BGR,ARG,2014,0.02
BGR,ARG,2015,0.029
BGR,ARG,2016,0.022
BGR,ARG,2017,0.033
BGR,ARG,2018,0.02
BGR,ARG,2019,0.017
BGR,ARG,2020,0.015
BLR,ARG,2000,0.031
BLR,ARG,2001,0.01
BLR,ARG,2002,0.006
BLR,ARG,2003,0.044
BLR,ARG,2004,0.025
BLR,ARG,2005,0.01
BLR,ARG,2006,0.04
BLR,ARG,2007,0.07
BLR,ARG,2008,0.084
BLR,ARG,2009,0.026
BLR,ARG,2010,0.085
BLR,ARG,2011,0.173
BLR,ARG,2012,0.138
BLR,ARG,2013,0.026
BLR,ARG,2014,0.03
BLR,ARG,2015,0.034
BLR,ARG,2016,0.041
BLR,ARG,2017,0.067
BLR,ARG,2018,0.092
